Zip Code,Year,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years)
95937,2020,1542.0,47.6,52.4,7.2,4.8,8.2,3.8,5.3,16.1,5.3,8.5,3.0,7.8,15.5,8.3,6.2,
95937,2021,1125.0,47.6,52.4,9.3,5.7,1.6,3.9,4.3,16.0,7.6,4.6,3.1,10.9,15.5,8.6,8.9,
95937,2022,1145.0,50.9,49.1,9.8,5.4,0.0,3.8,4.2,16.9,10.0,6.4,1.2,12.2,12.1,10.7,7.4,
95979,2017,729.0,45.1,54.9,4.0,4.8,7.3,9.6,1.9,8.8,4.0,18.7,8.6,13.3,9.6,5.9,3.6,
95979,2018,430.0,57.2,42.8,5.3,0.7,0.9,1.4,2.6,6.0,1.9,28.4,13.0,13.3,11.6,10.5,4.4,0.0
95979,2019,414.0,51.9,48.1,4.3,1.4,1.0,1.7,3.4,4.8,0.5,21.3,11.1,13.0,21.3,11.6,4.6,
95979,2020,397.0,63.0,37.0,1.5,2.0,1.0,1.8,6.0,17.9,0.5,17.6,8.3,12.1,15.4,12.1,3.8,
95979,2021,362.0,57.2,42.8,1.4,2.5,1.7,4.7,5.2,11.6,4.1,14.4,8.6,12.4,20.7,10.5,2.2,
95979,2022,374.0,57.2,42.8,1.1,1.3,3.2,5.6,5.1,9.6,8.3,10.4,4.5,9.4,28.9,10.2,2.4,
95987,2017,6050.0,54.8,45.2,5.0,8.2,8.4,6.9,6.9,16.3,11.6,14.3,5.9,7.2,5.7,2.4,1.1,
95987,2018,6119.0,50.3,49.7,6.6,7.2,8.8,8.5,5.8,12.9,13.9,12.4,5.9,6.8,6.6,2.5,1.9,0.0
95987,2019,5950.0,48.4,51.6,8.4,8.7,8.7,7.9,5.3,16.2,12.5,11.2,4.1,6.0,6.4,2.7,2.0,
95987,2020,6040.0,49.3,50.7,9.9,8.7,8.9,8.6,6.1,15.8,12.7,10.5,3.4,4.3,6.1,1.8,3.2,
95987,2021,6370.0,51.5,48.5,9.1,9.2,8.2,8.6,5.7,14.6,14.6,11.4,3.0,3.9,6.0,2.3,3.7,
95987,2022,6504.0,49.5,50.5,9.1,7.7,7.0,8.3,7.5,14.7,13.9,11.6,5.0,3.5,6.0,2.1,3.6,
