County,ZIP Code,Year,New,Renewed,Insured-Initiated Nonrenewed,Insurer-Initiated Nonrenewed,Non-Renewed,Active
Colusa,95979,2020,28,235,24.0,3.0,27,263
Colusa,95987,2020,135,1162,97.0,22.0,119,1297
Napa,94503,2021,557,4868,488.0,88.0,576,5425
Napa,94508,2021,86,667,88.0,35.0,123,753
Solano,94510,2021,793,7505,743.0,101.0,844,8298
Solano,94512,2021,4,25,3.0,1.0,4,29
Napa,94515,2021,263,1999,203.0,54.0,257,2262
Solano,94533,2021,2388,16222,1885.0,304.0,2189,18610
Solano,94534,2021,1699,11546,1450.0,252.0,1702,13245
Solano,94535,2021,0,6,1.0,0.0,1,6
Napa,94558,2021,1991,17755,1728.0,337.0,2065,19746
Napa,94559,2021,760,6524,696.0,106.0,802,7284
Napa,94562,2021,2,11,1.0,2.0,3,13
Napa,94567,2021,20,142,15.0,4.0,19,162
Solano,94571,2021,1049,4602,612.0,76.0,688,5651
Napa,94573,2021,2,34,5.0,0.0,5,36
Napa,94574,2021,308,2427,292.0,80.0,372,2735
Napa,94576,2021,6,49,9.0,1.0,10,55
Solano,94585,2021,1002,7488,853.0,143.0,996,8490
Solano,94591,2021,1900,14582,1658.0,258.0,1916,16482
Napa,94599,2021,104,787,87.0,28.0,115,891
Sonoma,95401,2021,1142,8588,858.0,146.0,1004,9730
Sonoma,95403,2021,1484,9791,1023.0,199.0,1222,11275
Sonoma,95404,2021,1368,10735,1201.0,263.0,1464,12103
Sonoma,95405,2021,658,6211,611.0,87.0,698,6869
Sonoma,95409,2021,1245,8297,1064.0,157.0,1221,9542
Sonoma,95412,2021,17,243,51.0,10.0,61,260
Sonoma,95416,2021,2,11,4.0,0.0,4,13
Sonoma,95419,2021,62,214,38.0,19.0,57,276
Sonoma,95421,2021,98,720,52.0,40.0,92,818
Lake,95422,2021,604,4401,588.0,159.0,747,5005
Lake,95423,2021,283,1795,254.0,66.0,320,2078
Lake,95424,2021,5,124,10.0,1.0,11,129
Sonoma,95425,2021,433,3140,343.0,85.0,428,3573
Lake,95426,2021,82,650,53.0,32.0,85,732
Sonoma,95430,2021,2,61,3.0,0.0,3,63
Sonoma,95433,2021,3,42,3.0,0.0,3,45
Sonoma,95436,2021,285,2146,217.0,100.0,317,2431
Sonoma,95439,2021,14,203,15.0,3.0,18,217
Sonoma,95441,2021,79,434,47.0,19.0,66,513
Sonoma,95442,2021,158,1118,105.0,37.0,142,1276
Sonoma,95444,2021,29,257,25.0,4.0,29,286
